q(MeV) 1s_{1/2} 2s_{1/2} 2p_{1/2} 2p_{3/2} 3s_{1/2} 3p_{1/2} 3p_{3/2} 3d_{3/2} 3d_{5/2} 4s_{1/2} 4p_{1/2} 4p_{3/2} 4d_{3/2} 4d_{5/2} 5s_{1/2} 5p_{1/2} 5p_{3/2} Sum
0.00139201 5.51189e-08 1.47882e-06 2.95896e-06 6.7075e-06 2.25371e-05 4.20679e-05 0.000108107 0.000596436 0.000937173 0.000329332 0.000475188 0.00137663 0.262593 0.455317 0.0246253 0.481363 1.13059 2.35839
0.00139808 5.56008e-08 1.49175e-06 2.98483e-06 6.76615e-06 2.27346e-05 4.24383e-05 0.000109059 0.000601617 0.000945313 0.000332151 0.000480147 0.00139065 0.264778 0.459096 0.0250095 0.485489 1.14041 2.37871
0.00140418 5.60868e-08 1.50479e-06 3.01093e-06 6.82531e-06 2.29339e-05 4.2812e-05 0.000110019 0.000606844 0.000953524 0.000334994 0.000485163 0.00140481 0.266981 0.462904 0.0254001 0.489645 1.15029 2.39919
0.0014103 5.65772e-08 1.51794e-06 3.03725e-06 6.885e-06 2.31349e-05 4.31891e-05 0.000110987 0.000612115 0.000961805 0.00033786 0.000490237 0.00141914 0.269202 0.466742 0.0257974 0.49383 1.16024 2.41982
0.00141645 5.70718e-08 1.53121e-06 3.06381e-06 6.9452e-06 2.33378e-05 4.35694e-05 0.000111964 0.000617432 0.000970158 0.000340751 0.000495369 0.00143363 0.271439 0.47061 0.0262015 0.498045 1.17026 2.44061
0.00142263 5.75707e-08 1.5446e-06 3.0906e-06 7.00594e-06 2.35424e-05 4.39532e-05 0.00011295 0.000622794 0.000978583 0.000343666 0.000500562 0.00144828 0.273695 0.474508 0.0266124 0.50229 1.18036 2.46155
0.00142883 5.8074e-08 1.5581e-06 3.11762e-06 7.0672e-06 2.37487e-05 4.43404e-05 0.000113944 0.000628203 0.000987081 0.000346605 0.000505815 0.0014631 0.275968 0.478436 0.0270303 0.506565 1.19052 2.48265
0.00143507 5.85817e-08 1.57173e-06 3.14488e-06 7.129e-06 2.3957e-05 4.4731e-05 0.000114947 0.000633659 0.000995652 0.000349569 0.000511129 0.00147808 0.278259 0.482395 0.0274552 0.510869 1.20076 2.5039
0.00144132 5.90938e-08 1.58547e-06 3.17238e-06 7.19134e-06 2.4167e-05 4.5125e-05 0.00011596 0.000639161 0.0010043 0.000352558 0.000516506 0.00149323 0.280568 0.486385 0.0278875 0.515204 1.21106 2.52531
0.00144761 5.96104e-08 1.59933e-06 3.20012e-06 7.25422e-06 2.43789e-05 4.55226e-05 0.000116981 0.000644711 0.00101302 0.000355572 0.000521945 0.00150856 0.282895 0.490405 0.028327 0.519569 1.22144 2.54688
